지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
충북 괴산군,교외대기,633361,청천면,2019013105,0.001,0.6,0.012,0.0178,69,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012623,0.001,0.6,0.026,0.0107,55,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012805,0.001,0.3,0.044,0.0052,28,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012814,0.001,0.3,0.045,0.0061,115,,충북 괴산군 청천면 송문로 덕평길
충북 증평군,도시대기,633481,증평읍,2019010306,0.001,0.8,0.002,0.022,36,36,충북 증평군 증평읍 송산리 123-2
충북 증평군,도시대기,633481,증평읍,2019010304,0.001,0.8,0.003,0.022,35,34,충북 증평군 증평읍 송산리 123-2
충북 증평군,도시대기,633481,증평읍,2019010303,0.001,0.8,0.002,0.023,38,34,충북 증평군 증평읍 송산리 123-2
충북 증평군,도시대기,633481,증평읍,2019010302,0.001,0.8,0.003,0.024,43,43,충북 증평군 증평읍 송산리 123-2
충북 괴산군,교외대기,633361,청천면,2019012921,0.001,0.7,0.015,0.0237,90,,충북 괴산군 청천면 송문로 덕평길
충북 청주시,도시대기,533113,사천동,2019010203,0.001,0.5,0.027,0.015,16,13,"충북 청주시 청원구 사천동 233-223번지(사뜸로 61번길 88-14), 청주청원도서관 옥상(2층)"
충북 청주시,도시대기,533113,사천동,2019010202,0.001,0.5,0.03,0.013,19,13,"충북 청주시 청원구 사천동 233-223번지(사뜸로 61번길 88-14), 청주청원도서관 옥상(2층)"
충북 증평군,도시대기,633481,증평읍,2019010205,0.001,0.6,0.008,0.019,30,30,충북 증평군 증평읍 송산리 123-2
충북 청주시,도시대기,533114,용담동,2019013123,0.001,0.4,0.021,0.017,60,21,충북 청주시 상당구 교동로139번길 20
충북 괴산군,교외대기,633361,청천면,2019012407,0.001,0.4,0.016,0.0062,30,,충북 괴산군 청천면 송문로 덕평길
충북 증평군,도시대기,633481,증평읍,2019010207,0.001,0.6,0.003,0.023,23,20,충북 증평군 증평읍 송산리 123-2
충북 괴산군,교외대기,633361,청천면,2019011810,0.001,0.6,0.015,0.0059,44,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011602,0.001,0.4,0.025,0.0071,55,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011809,0.001,0.6,0.011,0.0068,32,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011603,0.001,0.3,0.021,0.007,57,,충북 괴산군 청천면 송문로 덕평길
충북 청주시,도시대기,533113,사천동,2019010201,0.001,0.4,0.033,0.01,25,14,"충북 청주시 청원구 사천동 233-223번지(사뜸로 61번길 88-14), 청주청원도서관 옥상(2층)"
충북 괴산군,교외대기,633361,청천면,2019011605,0.001,0.4,0.015,0.0084,54,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011808,0.001,0.6,0.011,0.0069,36,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011805,0.001,0.5,0.014,0.0062,35,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011804,0.001,0.6,0.013,0.0062,40,,충북 괴산군 청천면 송문로 덕평길
충북 청주시,도시대기,533114,용담동,2019013124,0.001,0.3,0.026,0.011,53,16,충북 청주시 상당구 교동로139번길 20
충북 괴산군,교외대기,633361,청천면,2019011608,0.001,0.4,0.011,0.0093,48,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010321,0.001,0.5,0.016,0.0152,47,,충북 괴산군 청천면 송문로 덕평길
